Draw Date,Winning Numbers,Cash Ball
02/25/2021,06 08 47 52 54,03
02/24/2021,01 16 43 58 60,01
02/23/2021,04 17 27 35 49,01
02/22/2021,21 22 24 28 41,04
02/21/2021,06 09 44 51 54,02
02/20/2021,06 36 49 51 54,03
02/19/2021,06 19 32 35 47,04
02/18/2021,20 27 32 41 55,02
02/17/2021,03 12 39 52 57,04
02/16/2021,11 21 32 33 54,01
02/15/2021,08 18 21 28 46,03
02/14/2021,16 22 50 52 57,04
02/13/2021,03 45 52 56 58,03
02/12/2021,30 37 40 58 60,03
02/11/2021,08 09 24 32 36,02
02/10/2021,04 17 23 27 38,03
02/09/2021,27 35 38 52 57,02
02/08/2021,19 27 33 57 59,01
02/07/2021,01 07 16 44 47,02
02/06/2021,22 40 47 52 59,02
02/05/2021,27 31 39 45 48,04
02/04/2021,25 39 42 49 55,01
02/03/2021,16 35 37 50 55,04
02/02/2021,02 06 11 13 56,01
02/01/2021,18 26 33 58 59,04
01/31/2021,05 06 14 35 51,03
01/30/2021,03 31 33 43 44,03
01/29/2021,08 09 19 22 23,04
01/28/2021,03 31 39 57 59,03
01/27/2021,02 08 13 38 48,03
01/26/2021,19 24 38 40 60,02
01/25/2021,24 32 35 43 55,04
01/24/2021,11 25 40 53 59,04
01/23/2021,15 20 29 37 55,04
01/22/2021,02 15 19 41 43,01
01/21/2021,13 16 36 38 53,04
01/20/2021,08 13 14 44 52,04
01/19/2021,12 21 26 33 38,01
01/18/2021,04 06 07 33 53,01
01/17/2021,29 35 42 48 49,01
01/16/2021,15 23 26 32 57,04
01/15/2021,10 18 37 38 51,01
01/14/2021,01 10 17 32 39,01
01/13/2021,05 12 13 14 26,04
01/12/2021,28 32 40 41 44,02
01/11/2021,18 30 41 48 54,01
01/10/2021,05 43 46 49 52,04
01/09/2021,19 27 46 49 50,01
01/08/2021,03 09 22 44 47,02
01/07/2021,32 36 47 55 57,03
01/06/2021,05 06 16 22 33,02
01/05/2021,19 29 45 51 52,02
01/04/2021,03 24 43 47 51,03
01/03/2021,10 15 21 25 30,04
01/02/2021,31 33 35 37 50,03
01/01/2021,09 17 23 37 47,01
12/31/2020,11 28 40 48 57,04
12/30/2020,02 19 28 29 30,03
12/29/2020,12 21 23 24 36,01
12/28/2020,37 44 55 59 60,03
12/27/2020,28 35 36 42 53,02
12/26/2020,03 36 42 51 58,04
12/25/2020,04 26 44 56 57,02
12/24/2020,14 22 32 34 52,02
12/23/2020,01 18 21 23 32,04
12/22/2020,01 05 15 27 46,02
12/21/2020,12 29 32 38 60,01
12/20/2020,20 21 36 47 53,03
12/19/2020,25 31 48 56 57,03
12/18/2020,02 38 44 52 57,03
12/17/2020,11 19 25 35 59,02
12/16/2020,01 04 08 10 37,02
12/15/2020,16 27 42 49 57,01
12/14/2020,06 15 21 33 42,03
12/13/2020,16 32 33 42 53,03
12/12/2020,13 34 39 45 60,01
12/11/2020,25 34 36 49 57,01
12/10/2020,11 23 27 45 49,01
12/09/2020,13 31 37 39 57,04
12/08/2020,19 21 24 28 30,03
12/07/2020,13 16 22 40 49,01
12/06/2020,04 26 30 38 59,01
12/05/2020,08 16 45 48 57,03
12/04/2020,09 21 27 48 56,04
12/03/2020,06 10 14 31 59,02
12/02/2020,16 22 33 44 51,01
12/01/2020,01 02 25 48 53,04
11/30/2020,03 25 35 46 57,01
11/29/2020,09 17 18 28 38,03
11/28/2020,11 13 23 49 58,02
11/27/2020,12 14 20 28 51,03
11/26/2020,04 09 21 27 40,04
11/25/2020,10 18 25 27 56,04
11/24/2020,14 27 46 52 57,01
11/23/2020,05 11 40 55 59,02
11/22/2020,04 25 26 35 36,04
11/21/2020,04 08 35 40 54,03
11/20/2020,11 29 32 51 60,04
11/19/2020,16 17 18 37 58,04
11/18/2020,07 24 38 48 51,03
11/17/2020,15 31 43 45 54,03
11/16/2020,12 16 42 44 59,03
11/15/2020,19 20 32 35 49,01
11/14/2020,19 20 47 56 60,04
11/13/2020,12 18 23 29 46,04
11/12/2020,20 25 38 49 51,03
11/11/2020,07 20 30 41 56,04
11/10/2020,14 19 26 36 43,03
11/09/2020,10 27 40 45 49,01
11/08/2020,19 30 38 41 55,01
11/07/2020,02 03 18 43 49,03
11/06/2020,19 20 22 31 35,03
11/05/2020,05 07 11 17 41,03
11/04/2020,11 23 34 39 54,03
11/02/2020,13 16 28 36 56,02
11/01/2020,02 12 28 50 60,01
10/31/2020,24 33 35 39 40,01
10/30/2020,13 19 35 48 52,04
10/29/2020,02 31 40 52 53,02
10/28/2020,12 15 29 45 56,04
10/27/2020,01 13 21 30 41,02
10/26/2020,01 06 19 58 59,01
10/25/2020,14 39 44 45 53,04
10/24/2020,18 25 31 33 42,03
10/23/2020,04 13 16 34 40,04
10/22/2020,14 15 26 29 52,01
10/21/2020,03 07 16 45 52,04
10/20/2020,11 25 34 42 53,02
10/19/2020,23 24 30 34 58,03
10/18/2020,10 25 33 37 53,02
10/17/2020,17 18 23 28 33,02
10/16/2020,01 02 20 36 37,01
10/15/2020,24 37 42 57 58,04
10/14/2020,31 36 45 56 60,04
10/13/2020,05 14 35 47 51,01
10/12/2020,02 14 25 32 35,01
10/11/2020,04 14 41 42 54,04
10/10/2020,05 14 20 31 42,03
10/09/2020,16 24 39 48 51,02
10/08/2020,26 31 34 40 52,01
10/07/2020,08 18 30 44 49,04
10/06/2020,02 09 34 43 52,04
10/05/2020,01 03 35 37 42,04
10/04/2020,14 33 36 50 51,03
10/03/2020,05 08 42 45 47,01
10/02/2020,02 26 29 35 53,03
10/01/2020,07 23 37 49 52,03
09/30/2020,01 16 39 41 58,04
09/29/2020,06 10 37 46 52,04
09/28/2020,04 14 16 31 47,04
09/27/2020,04 06 09 50 59,02
09/26/2020,12 15 27 45 46,01
09/25/2020,12 20 34 35 56,01
09/24/2020,18 20 43 45 60,02
09/23/2020,10 28 36 38 45,1
09/22/2020,01 08 17 20 56,1
09/21/2020,06 18 21 51 52,4
09/20/2020,09 12 29 44 57,4
09/19/2020,07 11 36 40 50,1
09/18/2020,14 33 39 46 59,1
09/17/2020,09 15 34 35 59,3
09/16/2020,06 07 30 32 39,3
09/15/2020,06 22 36 37 50,3
09/14/2020,14 35 41 43 60,3
09/13/2020,01 19 27 44 46,1
09/12/2020,11 14 20 22 32,2
09/11/2020,24 27 28 38 53,2
09/10/2020,10 18 24 27 57,3
09/09/2020,07 15 32 52 59,2
09/08/2020,02 15 18 23 53,3
09/07/2020,01 02 20 37 56,3
09/06/2020,10 17 31 35 51,3
09/05/2020,08 22 34 44 45,1
09/04/2020,09 11 15 31 44,1
09/03/2020,18 28 41 43 48,1
09/02/2020,03 06 29 42 59,2
09/01/2020,26 29 30 33 36,3
08/31/2020,12 16 20 34 40,1
08/30/2020,03 12 18 29 33,1
08/29/2020,14 32 39 41 59,1
08/28/2020,27 29 33 34 57,4
08/27/2020,06 26 30 39 41,2
08/26/2020,07 10 15 17 30,3
08/25/2020,01 12 28 47 49,4
08/24/2020,02 04 05 12 22,1
08/23/2020,06 08 27 33 39,4
08/22/2020,08 12 17 25 36,4
08/21/2020,03 30 38 40 60,3
08/20/2020,10 15 23 35 59,2
08/19/2020,16 21 32 41 56,3
08/18/2020,25 31 47 48 59,1
08/17/2020,13 23 26 32 35,4
08/16/2020,10 27 30 38 46,2
08/15/2020,04 10 20 45 54,4
08/14/2020,12 24 35 42 54,2
08/13/2020,25 31 38 48 49,3
08/12/2020,12 19 22 42 56,2
08/11/2020,27 45 46 48 60,2
08/10/2020,02 07 09 20 55,4
08/09/2020,05 13 14 26 59,2
08/08/2020,21 37 41 43 60,1
08/07/2020,04 09 45 57 60,2
08/06/2020,01 19 31 35 55,3
08/05/2020,24 27 42 44 50,2
08/04/2020,16 17 27 31 43,4
08/03/2020,10 15 28 36 48,2
08/02/2020,02 11 19 27 30,4
08/01/2020,13 23 38 48 59,4
07/31/2020,11 12 26 27 32,3
07/30/2020,08 12 18 54 58,1
07/29/2020,08 11 21 36 39,2
07/28/2020,07 14 15 19 45,4
07/27/2020,10 15 32 37 50,2
07/26/2020,04 07 34 50 54,3
07/25/2020,10 22 44 45 59,3
07/24/2020,21 24 30 31 33,2
07/23/2020,08 30 46 47 50,4
07/22/2020,07 30 47 50 58,1
07/21/2020,04 06 16 17 18,4
07/20/2020,24 33 39 40 46,4
07/19/2020,14 27 34 36 45,4
07/18/2020,06 08 48 57 60,1
07/17/2020,06 07 29 44 50,4
07/16/2020,12 21 23 25 57,2
07/15/2020,06 21 29 57 58,3
07/14/2020,11 19 31 36 37,3
07/13/2020,11 12 33 36 49,4
07/12/2020,02 11 13 43 59,4
07/11/2020,05 11 22 27 41,4
07/10/2020,13 17 27 39 50,4
07/09/2020,02 13 14 29 39,1
07/08/2020,04 13 15 19 26,1
07/07/2020,09 12 17 22 37,1
07/06/2020,19 31 33 36 37,4
07/05/2020,11 15 21 52 58,3
07/04/2020,03 09 18 19 20,1
07/03/2020,07 23 28 42 47,1
07/02/2020,11 33 42 54 57,4
07/01/2020,21 31 34 38 47,1
06/30/2020,03 15 30 32 39,4
06/29/2020,10 12 16 17 32,1
06/28/2020,15 23 44 46 54,2
06/27/2020,09 26 29 42 59,2
06/26/2020,13 14 15 35 42,4
06/25/2020,20 37 43 45 50,2
06/24/2020,25 41 57 59 60,3
06/23/2020,11 45 50 52 59,3
06/22/2020,07 14 46 48 58,4
06/21/2020,14 17 20 40 47,2
06/20/2020,05 19 22 50 54,2
06/19/2020,20 38 40 47 49,2
06/18/2020,02 29 30 37 41,3
06/17/2020,10 28 51 54 57,4
06/16/2020,06 15 29 48 56,1
06/15/2020,18 31 34 43 55,2
06/14/2020,06 10 11 19 40,2
06/13/2020,11 19 31 50 58,4
06/12/2020,01 15 20 34 56,2
06/11/2020,20 35 44 50 51,2
06/10/2020,05 22 26 41 42,2
06/09/2020,07 23 26 48 56,4
06/08/2020,06 08 22 30 39,2
06/07/2020,01 09 12 39 51,1
06/06/2020,13 24 32 40 49,3
06/05/2020,04 05 13 52 58,1
06/04/2020,01 05 21 25 60,1
06/03/2020,13 28 38 46 48,1
06/02/2020,06 11 12 29 38,3
06/01/2020,08 17 24 33 48,3
05/31/2020,02 13 29 40 44,2
05/30/2020,09 21 24 42 44,4
05/29/2020,12 21 35 43 46,3
05/28/2020,07 08 12 14 39,2
05/27/2020,03 36 44 53 56,4
05/26/2020,10 13 21 31 41,3
05/25/2020,08 14 42 46 58,3
05/24/2020,12 15 22 50 55,2
05/23/2020,04 05 14 17 24,3
05/22/2020,13 27 38 42 53,4
05/21/2020,11 19 22 24 40,2
05/20/2020,11 29 40 53 57,1
05/19/2020,07 12 24 38 60,1
05/18/2020,06 11 14 31 57,1
05/17/2020,04 07 19 26 57,3
05/16/2020,05 10 17 41 45,3
05/15/2020,02 07 23 26 51,2
05/14/2020,10 34 53 55 59,1
05/13/2020,01 18 21 43 50,1
05/12/2020,13 14 16 23 60,4
05/11/2020,29 31 39 48 57,2
05/10/2020,01 06 15 17 36,2
05/09/2020,23 38 42 54 60,1
05/08/2020,12 20 30 34 47,3
05/07/2020,28 31 40 52 54,3
05/06/2020,09 17 21 25 34,1
05/05/2020,11 32 34 52 60,2
05/04/2020,04 11 30 31 46,3
05/03/2020,19 21 22 35 48,1
05/02/2020,08 18 43 52 59,4
05/01/2020,21 34 40 49 50,1
04/30/2020,08 17 19 28 44,4
04/29/2020,03 06 13 22 57,1
04/28/2020,18 21 36 41 48,2
04/27/2020,01 42 43 57 60,2
04/26/2020,04 24 26 27 32,4
04/25/2020,27 30 35 38 43,4
04/24/2020,23 29 38 39 58,1
04/23/2020,15 22 32 35 56,3
04/22/2020,02 06 10 37 42,1
04/21/2020,08 14 43 51 59,3
04/20/2020,11 17 20 22 52,1
04/19/2020,04 08 24 50 56,3
04/18/2020,20 28 37 41 44,1
04/17/2020,07 30 39 55 56,4
04/16/2020,06 12 18 20 22,1
04/15/2020,14 26 33 42 60,2
04/14/2020,29 30 31 53 54,3
04/13/2020,08 21 54 56 59,3
04/12/2020,04 21 23 29 59,3
04/11/2020,01 19 41 42 47,3
04/10/2020,11 27 45 46 50,3
04/09/2020,05 10 11 52 59,1
04/08/2020,02 21 22 28 46,3
04/07/2020,20 37 38 49 55,3
04/06/2020,04 25 37 56 57,2
04/05/2020,24 40 49 54 57,2
04/04/2020,01 14 16 41 52,4
04/03/2020,29 32 42 51 57,1
04/02/2020,10 17 22 24 44,1
04/01/2020,05 14 18 27 46,4
03/31/2020,18 25 31 45 58,1
03/30/2020,02 07 28 30 52,3
03/29/2020,03 29 38 45 53,1
03/28/2020,21 26 35 58 59,3
03/27/2020,03 08 09 24 39,4
03/26/2020,01 41 42 47 58,2
03/25/2020,05 24 26 40 52,1
03/24/2020,06 15 18 25 49,4
03/23/2020,44 47 52 53 55,1
03/22/2020,01 34 41 43 53,2
03/21/2020,14 20 50 56 57,1
03/20/2020,13 14 16 24 30,1
03/19/2020,08 14 19 44 45,3
03/18/2020,05 14 18 23 51,1
03/17/2020,01 23 30 45 53,2
03/16/2020,10 22 34 50 55,2
03/15/2020,21 24 34 39 46,2
03/14/2020,10 12 17 43 50,2
03/13/2020,07 17 22 24 31,1
03/12/2020,18 26 36 37 38,3
03/11/2020,08 25 35 54 58,2
03/10/2020,04 08 40 42 50,2
03/09/2020,03 04 13 23 47,1
03/08/2020,12 28 34 47 49,1
03/07/2020,18 23 40 41 44,2
03/06/2020,09 27 38 41 53,4
03/05/2020,02 22 32 45 59,3
03/04/2020,08 12 17 21 34,2
03/03/2020,06 15 25 48 59,2
03/02/2020,07 26 35 39 50,4
03/01/2020,05 16 18 42 43,1
02/29/2020,27 31 40 52 53,4
02/28/2020,10 24 27 59 60,2
02/27/2020,04 09 19 31 52,4
02/26/2020,17 21 32 36 52,3
02/25/2020,01 31 34 38 47,4
02/24/2020,04 25 39 44 60,1
02/23/2020,05 26 32 46 50,2
02/22/2020,15 17 20 33 34,3
02/21/2020,28 49 56 58 59,2
02/20/2020,03 09 25 46 49,1
02/19/2020,04 11 13 14 54,3
02/18/2020,03 13 16 34 45,2
02/17/2020,16 31 35 36 37,4
02/16/2020,07 08 10 33 49,1
02/15/2020,14 30 37 39 47,2
02/14/2020,20 42 46 57 59,1
02/13/2020,01 11 27 45 47,4
02/12/2020,02 09 13 44 60,2
02/11/2020,11 22 32 34 48,2
02/10/2020,05 07 21 22 41,1
02/09/2020,04 15 27 45 54,4
02/08/2020,22 23 41 55 58,2
02/07/2020,10 15 21 49 50,1
02/06/2020,04 05 08 25 47,4
02/05/2020,03 15 27 52 54,2
02/04/2020,08 18 20 22 28,4
02/03/2020,08 30 37 58 59,1
02/02/2020,19 22 29 36 60,4
02/01/2020,01 12 22 33 42,4
01/31/2020,20 22 40 50 53,2
01/30/2020,06 11 41 49 58,3
01/29/2020,19 27 40 41 58,1
01/28/2020,04 09 18 20 56,4
01/27/2020,02 19 26 36 55,1
01/26/2020,23 44 48 50 60,2
01/25/2020,18 21 37 49 57,1
01/24/2020,05 13 19 41 57,3
01/23/2020,14 21 24 49 60,3
01/22/2020,02 28 29 45 46,3
01/21/2020,08 15 16 41 55,3
01/20/2020,04 23 54 56 57,4
01/19/2020,19 32 38 51 57,3
01/18/2020,17 28 36 40 60,4
01/17/2020,14 32 37 43 56,1
01/16/2020,01 09 25 38 57,2
01/15/2020,14 16 18 25 46,4
01/14/2020,16 21 28 45 51,4
01/13/2020,07 08 16 20 35,2
01/12/2020,18 23 25 49 51,1
01/11/2020,17 20 23 46 57,1
01/10/2020,01 03 26 27 44,2
01/09/2020,07 17 42 50 51,2
01/08/2020,03 13 32 41 42,3
01/07/2020,11 13 28 58 59,2
01/06/2020,22 32 33 35 43,2
01/05/2020,41 43 45 59 60,4
01/04/2020,04 07 19 26 47,3
01/03/2020,36 40 53 55 56,3
01/02/2020,07 30 39 44 48,4
01/01/2020,02 17 26 44 46,3
12/31/2019,10 22 26 28 39,2
12/30/2019,08 32 39 58 60,4
12/29/2019,01 19 20 25 36,3
12/28/2019,17 33 42 43 55,3
12/27/2019,02 08 35 41 47,1
12/26/2019,02 11 29 44 59,2
12/25/2019,05 07 15 24 37,1
12/24/2019,06 08 16 23 57,4
12/23/2019,01 09 40 53 58,3
12/22/2019,32 36 38 42 54,3
12/21/2019,05 15 24 30 59,3
12/20/2019,09 27 40 48 58,1
12/19/2019,06 15 35 44 59,3
12/18/2019,22 43 49 50 57,2
12/17/2019,14 16 17 24 43,1
12/16/2019,26 30 35 36 58,2
12/15/2019,03 10 16 35 38,2
12/14/2019,02 11 25 40 44,1
12/13/2019,27 40 45 46 60,2
12/12/2019,06 21 49 53 55,1
12/11/2019,03 08 11 30 48,1
12/10/2019,21 32 36 39 53,1
12/09/2019,01 30 42 47 52,1
12/08/2019,17 18 21 44 50,1
12/07/2019,02 27 48 55 60,3
12/06/2019,03 11 18 23 49,4
12/05/2019,03 15 42 45 50,3
12/04/2019,23 44 46 49 56,3
12/03/2019,06 13 15 22 51,3
12/02/2019,15 20 36 44 46,2
12/01/2019,08 10 36 45 60,3
11/30/2019,13 16 34 46 55,2
11/29/2019,14 18 42 43 51,1
11/28/2019,19 26 48 51 53,4
11/27/2019,07 09 15 16 43,2
11/26/2019,01 04 16 30 40,4
11/25/2019,26 30 40 53 54,4
11/24/2019,06 07 11 14 36,1
11/23/2019,14 15 22 35 41,4
11/22/2019,13 14 27 47 48,2
11/21/2019,01 25 35 42 51,3
11/20/2019,17 21 31 49 51,2
11/19/2019,10 14 40 46 49,3
11/18/2019,25 34 35 46 59,4
11/17/2019,01 02 26 47 56,1
11/16/2019,02 09 15 45 57,2
11/15/2019,12 21 28 46 56,4
11/14/2019,06 29 33 44 56,4
11/13/2019,01 36 40 54 55,3
11/12/2019,04 11 14 15 60,4
11/11/2019,07 14 27 28 39,1
11/10/2019,11 18 30 32 44,2
11/09/2019,12 15 33 34 44,4
11/08/2019,11 21 31 52 57,3
11/07/2019,06 17 32 45 47,2
11/06/2019,01 07 21 36 47,4
11/05/2019,10 26 43 47 56,3
11/04/2019,04 13 48 49 53,3
11/03/2019,05 13 14 16 45,2
11/02/2019,12 14 16 17 28,4
11/01/2019,12 15 16 38 57,4
10/31/2019,18 25 28 41 47,3
10/30/2019,01 03 15 26 53,3
10/29/2019,23 31 45 48 58,4
